TIMESTAMPms	M100GLOBALPOSITIONINTlat	M100GLOBALPOSITIONINTlon	M100VFRHUDalt
99104	4.18799e+08	1.27035e+08	-6.79749
99265	4.18799e+08	1.27035e+08	-6.64828
99641	4.18799e+08	1.27035e+08	-6.50919
100046	4.18799e+08	1.27035e+08	-6.50919
100146	4.18799e+08	1.27035e+08	-6.50919
100176	4.18799e+08	1.27035e+08	-6.38478
101671	4.18799e+08	1.27035e+08	-6.13904
102045	4.18799e+08	1.27035e+08	-6.13904
102174	4.18799e+08	1.27035e+08	-6.07037
102722	4.18799e+08	1.27035e+08	-5.97868
103113	4.18799e+08	1.27035e+08	-5.91994
103124	4.18799e+08	1.27035e+08	-5.91994
103660	4.18799e+08	1.27035e+08	-6.01872
104047	4.18799e+08	1.27035e+08	-6.01872
104192	4.18799e+08	1.27035e+08	-6.20604
104599	4.18799e+08	1.27035e+08	-6.39692
104986	4.18799e+08	1.27035e+08	-6.39692
105131	4.18799e+08	1.27035e+08	-6.56733
105693	4.18799e+08	1.27035e+08	-6.6508
106064	4.18799e+08	1.27035e+08	-6.6508
106225	4.18799e+08	1.27035e+08	-6.56511
106773	4.18799e+08	1.27035e+08	-6.40978
107018	4.18799e+08	1.27035e+08	-6.40978
107101	4.18799e+08	1.27035e+08	-6.30252
107745	4.18799e+08	1.27035e+08	-6.1907
109111	4.18799e+08	1.27035e+08	-5.828
